id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
95745,0.661656,tcp,http,FIN,10,10,804,1330,28.715827,62,252,8753.792969,14472.77734,2,2,73.517333,64.571555,4564.721941,110.757008,255,4027744985,1802483418,255,0.109361,0.05091,0.058451,80.0,133.0,1,220,6,1,2,2,1,5,0,0,1,2,5,0,Normal,0
44164,1.501572,tcp,http,FIN,60,16,68195,698,49.947654,254,252,357273.5625,3489.676025,27,1,25.052339,102.143141,2413.959242,128.161133,255,1501886734,1889593516,255,0.201299,0.071565,0.129734,1137.0,44.0,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
35747,0.022939,tcp,-,FIN,40,42,2542,23508,3531.10419,31,29,864553.8125,8003487.5,7,14,0.579667,0.547829,37.850544,36.773212,255,576950618,2760384187,255,0.000601,0.000475,0.000126,64.0,560.0,0,0,8,0,4,1,1,1,0,0,0,6,6,0,Normal,0
13714,0.333839,tcp,ssh,FIN,32,24,3728,5474,164.750074,31,29,86556.69531,125713.2969,7,7,10.769,14.482174,646.395696,18.855139,255,1619850286,3769767619,255,0.000753,0.000625,0.000128,117.0,228.0,0,0,1,0,2,1,1,5,0,0,0,3,1,0,Normal,0
32128,0.023857,tcp,-,FIN,50,48,3062,32538,4065.89272,31,29,1006329.438,10683992.0,7,18,0.490708,0.496894,0.0,31.697421,255,457959087,2633609025,255,0.00091,0.0005,0.00041,61.0,678.0,0,0,9,0,5,1,1,6,0,0,0,4,8,0,Normal,0
98555,0.450403,tcp,http,FIN,10,8,792,1120,37.743976,62,252,12664.21387,17406.63281,2,2,50.044778,53.655,2552.511185,94.233352,255,3067692882,2963142543,255,0.15083,0.074152,0.076678,79.0,140.0,1,158,7,1,2,2,1,6,0,0,1,3,6,0,Normal,0
67498,4e-06,udp,-,INT,2,0,1064,0,250000.0006,254,0,1064000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532.0,0.0,0,0,40,2,14,14,1,39,0,0,0,14,39,0,Normal,0
30533,0.018879,tcp,-,FIN,40,42,2542,23508,4290.481465,31,29,1050479.375,9724668.0,7,14,0.475333,0.470359,29.377086,28.219498,255,2105964203,4280856434,255,0.000666,0.000532,0.000134,64.0,560.0,0,0,3,0,3,1,1,2,0,0,0,3,7,0,Normal,0
74784,0.270394,tcp,-,FIN,10,6,542,268,55.474604,254,252,14438.19043,6627.366211,2,1,28.531333,42.212398,1473.120348,65.608289,255,1570060321,3089165182,255,0.087143,0.059323,0.02782,54.0,45.0,0,0,11,1,2,2,2,10,0,0,0,3,10,0,Normal,0
14645,0.001009,udp,dns,CON,2,2,130,162,2973.240834,31,29,515361.75,642220.0,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65.0,81.0,0,0,4,0,4,2,1,3,0,0,0,7,2,0,Normal,0
