flow_id,src_ip,src_port,dst_ip,dst_port,protocol,start_ms,end_ms,flow_duration_ms,fwd_pkts,bwd_pkts,tot_pkts,fwd_bytes,bwd_bytes,tot_bytes,pps,bps,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_mean,bwd_pkt_len_std,flow_pkt_len_mean,flow_pkt_len_std,flow_pkt_len_min,flow_pkt_len_max,fwd_iat_mean_ms,fwd_iat_std_ms,bwd_iat_mean_ms,bwd_iat_std_ms,iat_flow_mean_ms,iat_flow_std_ms,fwd_syn,fwd_ack,fwd_fin,fwd_rst,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_to_fwd_pkt_ratio,bwd_to_fwd_byte_ratio
0,192.168.1.142,3000,255.255.255.255,2000,17,1763432911802,1763432925942,14140,16,0,16,512,0,512,1.1315407632446677,289.6744353906349,32.0,0.0,0.0,0.0,32.0,0.0,0,0,942.6674683888752,1042.3784241004328,0.0,0.0,942.6674683888752,1042.3784241004328,0,0,0,0,0,0,0,0,0.0,0.0
1,192.168.1.105,53380,64.233.185.94,443,6,1763432912169,1763432912270,101,6,7,13,442,535,977,128.65173915710693,77349.38409630368,73.66666666666667,32.82478738189582,76.42857142857143,36.03635730230024,75.15384615384615,33.17088621528964,0,0,10.164833068847656,22.486170494160714,8.6976687113444,20.48397636066432,8.420666058858236,19.207609231168057,0,6,0,0,0,7,0,0,1.1666666666666667,1.2104072398190044
2,192.168.1.142,43023,239.255.255.250,3702,17,1763432912293,1763432912293,1,1,0,1,746,0,746,1000.0,5968000.0,746.0,0.0,0.0,0.0,746.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
3,192.168.1.105,53231,173.194.219.132,443,6,1763432912374,1763432927087,14712,2,2,4,81,165,246,0.2718731285871068,133.76157926485655,40.5,0.7071067811865476,82.5,43.1335136523794,61.5,34.76108935769035,0,0,14712.744951248169,0.0,14664.8530960083,0.0,4904.248317082724,8452.965231247907,0,2,1,0,0,2,0,0,1.0,2.037037037037037
4,192.168.1.105,50559,173.194.167.106,443,17,1763432914383,1763432924635,10252,213,1180,1393,52870,1477095,1529965,135.86827887031953,1193818.8731188998,248.2159624413144,430.1239513414518,1251.7754237288125,172.20261821324894,1098.3237616654685,428.76178897324905,0,0,48.358684440828725,383.0102744216202,8.692609950381899,163.72178213042713,7.365357087946482,150.16270730843775,0,0,0,0,0,0,0,0,5.539906103286385,27.938244751276716
5,192.168.1.105,53297,142.250.9.95,443,6,1763432914611,1763432914658,47,1,1,2,41,52,93,42.25190139922836,15717.707320512949,41.0,0.0,52.0,0.0,46.5,7.7781745930520225,0,0,0.0,0.0,0.0,0.0,47.335147857666016,0.0,0,1,0,0,0,1,0,0,1.0,1.2682926829268293
6,192.168.1.105,55041,64.233.185.95,443,17,1763432914705,1763432919869,5163,2,2,4,118,158,276,0.7746054927811686,427.5822320152051,59.0,2.8284271247461903,79.0,36.76955262170047,69.0,24.221202832779934,0,0,5163.918972015381,0.0,5092.922925949097,0.0,1721.306324005127,2919.991671175929,0,0,0,0,0,0,0,0,1.0,1.3389830508474576
7,192.168.1.105,53340,23.32.152.236,443,6,1763432916892,1763432916895,2,1,1,2,41,52,93,701.9755648535565,261134.91012552302,41.0,0.0,52.0,0.0,46.5,7.7781745930520225,0,0,0.0,0.0,0.0,0.0,2.849102020263672,0.0,0,1,0,0,0,1,0,0,1.0,1.2682926829268293
8,146.75.93.140,443,192.168.1.105,52242,6,1763432918199,1763432918203,3,4,3,7,235,120,355,1965.7289769683985,797524.3277986074,58.75,24.295061226512683,40.0,0.0,50.714285714285715,19.888977564757536,0,0,1.187006632486979,1.4226611888392455,0.3834962844848633,0.39668613818453463,0.5935033162434895,1.08610322438191,0,4,1,0,0,3,1,0,0.75,0.5106382978723404
9,192.168.1.142,45837,239.255.255.250,3702,17,1763432918343,1763432918343,1,1,0,1,746,0,746,1000.0,5968000.0,746.0,0.0,0.0,0.0,746.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0
10,192.168.1.105,53296,142.250.105.132,443,6,1763432918621,1763432918670,49,1,1,2,41,52,93,40.43930446352387,15043.421260430878,41.0,0.0,52.0,0.0,46.5,7.7781745930520225,0,0,0.0,0.0,0.0,0.0,49.45683479309082,0.0,0,1,0,0,0,1,0,0,1.0,1.2682926829268293
